from;to;name_from;ref_prod_from;location_from;name_to;ref_prod_to;location_to
37;35;market for water, deionised;water, deionised;Europe without Switzerland;market for water, deionised, from tap water, at user;water, deionised, from tap water, at user;
37;35;market for water, deionised;water, deionised;RoW;market for water, deionised, from tap water, at user;water, deionised, from tap water, at user;
37;35;market for water, deionised;water, deionised;CH;market for water, deionised, from tap water, at user;water, deionised, from tap water, at user;
37;35;market for water, decarbonised;water, decarbonised;CH;market for water, decarbonised, at user;water, decarbonised, at user;GLO
37;35;water production, deionised;water, deionised;RoW;water production, deionised, from tap water, at user;water, deionised, from tap water, at user;
37;35;water production, deionised;water, deionised;Europe without Switzerland;water production, deionised, from tap water, at user;water, deionised, from tap water, at user;
37;35;market for water, deionised;water, deionised;RoW;market for water, deionised, from tap water, at user;water, deionised, from tap water, at user;
37;35;market for water, deionised;water, deionised;Europe without Switzerland;market for water, deionised, from tap water, at user;water, deionised, from tap water, at user;
37;35;market for water, ultrapure;water, ultrapure;RoW;;;GLO
37;35;market for water, ultrapure;water, ultrapure;CA-QC;;;GLO
37;35;market for aluminium oxide, metallurgical;aluminium oxide, metallurgical;IAI Area, EU27 & EFTA;market for aluminium oxide;aluminium oxide;GLO
37;35;market for flat glass, coated;flat glass, coated;RER;;;GLO
37;35;market for flat glass, uncoated;flat glass, uncoated;RER;;;GLO
37;35;market for steam, in chemical industry;steam, in chemical industry;RER;;;GLO
37;35;market for transport, freight train;transport, freight train;ZA;;;RoW
37;35;market for transport, freight train;transport, freight train;IN;;;RoW
37;35;hydrogen production, gaseous, petroleum refinery operation;hydrogen, gaseous;Europe without Switzerland;hydrogen cracking, APME;hydrogen, liquid;RER
37;35;hydrogen production, gaseous, petroleum refinery operation;hydrogen, gaseous;RoW;hydrogen cracking, APME;hydrogen, liquid;RoW
37;35;hydrogen production, gaseous, petroleum refinery operation;hydrogen, gaseous;ZA;hydrogen cracking, APME;hydrogen, liquid;RoW
37;35;hydrogen production, gaseous, petroleum refinery operation;hydrogen, gaseous;IN;hydrogen cracking, APME;hydrogen, liquid;RoW
37;35;hydrogen production, gaseous, petroleum refinery operation;hydrogen, gaseous;BR;hydrogen cracking, APME;hydrogen, liquid;RoW
37;35;market for tap water;tap water;IN;;;RoW
37;35;steel production, electric, low-alloyed;steel, low-alloyed;Europe without Switzerland and Austria;;;RER
38;36;steel production, electric, low-alloyed;steel, low-alloyed;Europe without Switzerland and Austria;;;RER
37;35;reinforcing steel production;reinforcing steel;Europe without Austria;;;RER
37;35;smelting of copper concentrate, sulfide ore;copper, anode;RoW;smelting and refining of nickel ore;copper concentrate, sulfide ore;GLO
37;35;market for nylon 6;nylon 6;RoW;;;GLO
37;35;market for copper, anode;copper, anode;GLO;market for copper;copper;GLO
37;35;market for transport, freight, sea, tanker for petroleum;transport, freight, sea, tanker for petroleum;GLO;transport, freight, sea, transoceanic tanker;transport, freight, sea, transoceanic tanker;
37;35;market for water, decarbonised;water, decarbonised;RoW;market for water, decarbonised, at user;water, decarbonised, at user;GLO
37;35;transport, freight, sea, container ship;transport, freight, sea, container ship;GLO;transport, freight, sea, transoceanic ship;transport, freight, sea, transoceanic ship;
